,title,run_t
879,The Alpha Test,
880,Officer Downe,88
881,The Stöned Age,90
882,Legends of Oz: Dorothy's Return,88
883,And While We Were Here,83
884,The Sound of Silence,85
885,Wanted: Dead or Alive,106
886,18 Again!,93
887,The Throwaways,90
888,Go Back to China,95
889,Infestation,91
890,Daddy's Little Girls,100
891,Deviant Love,87
892,Flock of Dudes,90
893,Beau Geste,112
894,Parting Glances,90
895,Fallen Angel,98
896,Life with Father,118
897,Running Wild,99
898,The Rake,79
899,Private Romeo,94
900,The Onion Field,122
901,Dudley Do-Right,77
902,Possession,
903,A Midsummer Night's Dream,105
904,CQ,88
905,Chalk It Up,90
906,The Affair of the Necklace,118
907,Burn Your Maps,102
908,2020,90
909,Zombie Tidal Wave,86
910,1969,95
911,Elvis and Anabelle,106
912,Before and After,108
913,When the Starlight Ends,85
914,East Side Sushi,106
915,The Last Rampage,93
916,Knight Moves,116
917,Canal Street,89
918,An American Carol,83
919,The Mob,87
920,Never Talk to Strangers,86
921,"Love, Wedding, Marriage",90
922,All Through the Night,107
923,The Arrangement,125
924,The Ten,96
925,Drowning Mona,96
926,Madea's Witness Protection,
927,Smoky,87
928,The Day,87
929,Go Go Tales,96
930,Abattoir,98
931,Delta Force 2: The Colombian Connection,111
932,Fairy Tales,76
933,Most Beautiful Island,80
934,Gun Shy,101
935,Burning Dog,89
936,Rosewater,103
937,The Lie,97
938,Rosebud,126
939,Jessica Darling's It List,79
940,Abstruse,117
941,The Patsy,101
942,Raven's Touch,84
943,The Mummy Rebirth,80
944,Aftermath,92
945,The Silence of the Hams,81
946,Without Evidence,
947,Poolhall Junkies,99
948,Amazing Stories,111
949,Barabbas,137
950,Nuts,116
951,Heart Condition,100
952,Low Down,114
953,"Boeing, Boeing",102
954,The Basement,90
955,Spring Breakdown,84
956,Lovesick,85
957,Stay Out Stay Alive,85
958,Desperate Measures,100
959,Chained for Life,91
960,Night of the Lepus,88
961,Life of a King,100
962,The Ex Next Door,90
963,The Killer Shrews,69
964,King David,114
965,Hollow Creek,116
966,Unstoppable,96
967,Seoul Searching,105
968,The Bat People,93
969,Mischievous,97
970,Trick,89
971,Chasing Papi,80
972,A Dangerous Woman,102
973,Carnosaur,83
974,Goats,
975,Complete Unknown,91
976,Cradle Will Rock,132
977,The Klansman,112
978,Another You,
979,The Black Swan,87
980,Houseguest,113
981,Union Station,81
982,Strange Bedfellows,98
983,Mantervention,98
984,Adventures of Don Juan,110
985,Wieners,
986,Keys to Tulsa,113
987,Réalité,95
988,The Secret Life of Walter Mitty,110
989,Thirst,87
990,Zoombies,87
991,With Six You Get Eggroll,95
992,Tempest,142
993,Poor White Trash,85
994,Amreeka,96
995,Homo Erectus,88
996,Welcome to Hollywood,89
997,Illegally Yours,102
998,Crime + Punishment in Suburbia,100
999,Return of the Killer Tomatoes!,98
1000,Sex and Breakfast,81
1001,Watching the Detectives,90
1002,Go for It,104
1003,Here Awhile,85
1004,Ghost in the Machine,95
1005,A Girl Like Grace,93
1006,The Night They Raided Minsky's,99
1007,Minotaur,
1008,Someone Marry Barry,87
1009,$,121
1010,Love and a .45,101
1011,Platoon Leader,97
1012,Hero and the Terror,96
1013,Wisdom,109
1014,The Assassin's Code,95
1015,Day the World Ended,79
1016,Swimming with Sharks,93
1017,Gas! -Or- It Became Necessary to Destroy the World in Order to Save It.,78
1018,Baadasssss!,108
1019,The Big White,100
1020,September,83
1021,Traded,98
1022,The Gymnast,96
1023,Show Boat,113
1024,You're a Big Boy Now,96
1025,Strawberry and Chocolate,108
1026,Dragon Soldiers,89
1027,Max 2: White House Hero,85
1028,The Lonely Lady,92
1029,Save the Date,97
1030,The Revengers,
1031,Panic in the Streets,96
1032,We'll Never Have Paris,92
1033,It's All About Love,
1034,The Work Wife,86
1035,Alice's Restaurant,111
1036,Deuces,87
1037,Design for Living,91
1038,Carter & June,87
1039,Ninja Cheerleaders,81
1040,The Great Alaskan Race,87
1041,Outsourced,103
1042,Domain,97
1043,Angel of Death,77
1044,Light from Light,82
1045,Lord Jim,154
1046,Cougar Hunting,102
1047,Day of the Outlaw,92
1048,Clash by Night,105
1049,Rebound,86
1050,The Scarlet Claw,74
1051,Among Friends,80
1052,Bang! Bang! You're Dead!,94
1053,The Man I Love,96
1054,Deceived,104
1055,The King of the Kickboxers,99
1056,Jurassic Galaxy,74
1057,Dark Ride,94
1058,Starting Over,105
1059,Brenda Starr,93
1060,Billy the Kid,80
1061,The Chosen,108
1062,Scorpio,114
1063,Moment by Moment,
1064,Planet of Dinosaurs,84
1065,Loving You,101
1066,Listen Up Philip,108
1067,The Way We Weren't,93
1068,Do You Take This Man,92
1069,The Associate,114
1070,Forced Vengeance,90
1071,The Old Maid,95
1072,El Gringo,99
1073,Pitfall,86
1074,Villain,98
1075,Like.Share.Follow.,97
1076,The Penthouse,89
1077,The Ghost in the Invisible Bikini,82
1078,Do It for Uncle Manny,95
1079,The Color of Time,73
1080,Compulsion,103
1081,Radioland Murders,108
1082,Mother Night,114
1083,The Bachelor and the Bobby-Soxer,95
1084,Sushi Girl,98
1085,Westbound,72
1086,The Private Lives of Adam and Eve,86
1087,Song of the Thin Man,86
1088,Strictly Business,
1089,Finding Eden,75
1090,Crazy Kind of Love,100
1091,Berserker,85
1092,Zoot Suit,103
1093,"Follow Me, Boys!",131
1094,The Three Lives of Thomasina,97
1095,Danger One,101
1096,His Kind of Woman,120
1097,The Strange Woman,100
1098,Malice in Wonderland,87
1099,Young Man with a Horn,112
1100,Digimon: The Movie,
1101,Plank Face,91
1102,The Further Adventures of Tennessee Buck,
1103,King Arthur and the Knights of the Round Table,88
1104,The Puffy Chair,
1105,Step Up China,100
1106,American Violence,107
1107,7 Deadly Sins,85
1108,Resurrection,103
1109,Hey Arnold! The Movie,76
1110,Gremlin,90
1111,Metalstorm: The Destruction of Jared-Syn,84
1112,The Great Sinner,110
1113,Necromancy,83
1114,Greenlight,71
1115,Snow Angels,107
1116,The Caveman's Valentine,105
1117,The Teahouse of the August Moon,123
1118,The Favorite,108
1119,Jamesy Boy,109
1120,The Light at the Edge of the World,120
1121,Red Velvet,
1122,Layla Live or Die,67
1123,When Nietzsche Wept,105
1124,The Student,90
1125,Unintended,92
1126,A Small Town Idol,
1127,Rich and Famous,117
1128,You Have a Nice Flight,
1129,Albanian Gangster,81
1130,Who Gets the Dog?,95
1131,I Am David,90
