Performer,Metascore
Alan DeWitt,68.0
Alan Dellay,34.0
Alan Demovsky,31.0
Alan Desatti,36.0
Alan Devlin,33.0
Alan Dexter,50.0
Alan Douglas,78.0
Alan Doyle,42.0
Alan Echeverria,10.0
Alan Fawcett,56.0
Alan Feinstein,64.0
Alan Fessenden,45.0
Alan Ford,42.5
Alan Frazier,81.0
Alan Fudge,59.0
Alan Gary,31.0
Alan Gelfant,49.5
Alan Gibbs,52.0
Alan Gifford,84.0
Alan Gilbert,52.0
Alan Gorg,32.0
Alan Gryfe,68.0
Alan H. Braunstein,68.0
Alan H. King,60.0
Alan Hale,92.0
Alan Hale Jr.,58.0
Alan Haufrect,51.0
Alan Hewitt,59.0
Alan Hopgood,36.0
Alan J. Wendl,63.0
Alan Katz,32.0
Alan King,54.5
Alan Koss,89.0
Alan Ladd,73.5
